"COMMON.NAME","SP.CATEGORY","M.YEAR","SE.LINK","PRED.LINK","ITERATION"
"Common Tailorbird","U",2020,1.66580244936693,-1.21830114404334,101
"Common Tailorbird","U",2021,1.66645147416448,-1.1751328207933,101
"Rose-ringed Parakeet","U",2018,1.67173421207596,-1.26001504802342,101
"Rose-ringed Parakeet","U",2019,1.65774168572878,-1.22510684735492,101
"Rose-ringed Parakeet","U",2020,1.62985321436579,-1.19345741409005,101
"Rose-ringed Parakeet","U",2021,1.65554863462988,-1.21665487397608,101
"Asian Koel","U",2018,1.7655648931913,-1.28877189608526,101
"Asian Koel","U",2019,1.82791152488555,-1.35585932562872,101
"Asian Koel","U",2020,1.75379215523924,-1.30753319491759,101
"Asian Koel","U",2021,1.77966702105543,-1.35450460698304,101
"Purple Sunbird","U",2018,1.90972203684832,-1.60993676024386,101
"Purple Sunbird","U",2019,1.92481420143382,-1.59664454740814,101
"Purple Sunbird","U",2020,1.92377218323781,-1.55594832302855,101
"Purple Sunbird","U",2021,1.89483113726131,-1.50607058676203,101
"Pale-billed Flowerpecker","U",2018,2.32842961051352,-2.44957469134264,101
"Pale-billed Flowerpecker","U",2019,2.28372360608357,-2.36563239090569,101
"Pale-billed Flowerpecker","U",2020,2.33026942468728,-2.53124117273884,101
"Pale-billed Flowerpecker","U",2021,2.27957063767976,-2.45060790636427,101
"White-cheeked Barbet","U",2018,1.72369984888124,-1.29084191826243,101
"White-cheeked Barbet","U",2019,1.7548610396233,-1.36447443190962,101
"White-cheeked Barbet","U",2020,1.71007249768028,-1.34991329448004,101
"White-cheeked Barbet","U",2021,1.72608345075239,-1.31167868245756,101
"Green Bee-eater","R",2018,1.55977778986802,-0.853633383937413,101
"Green Bee-eater","R",2019,1.54060787829355,-0.769263266301601,101
"Green Bee-eater","R",2020,1.49325066711514,-0.674518668594547,101
"Green Bee-eater","R",2021,1.46866285029528,-0.700527703977986,101
"Black Drongo","R",2018,1.77135605563182,-1.19361752977037,101
"Black Drongo","R",2019,1.86278720925127,-1.31721202749581,101
"Black Drongo","R",2020,1.75512435466248,-1.12824189649292,101
"Black Drongo","R",2021,1.71315017399131,-1.06790426805644,101
"Pied Bushchat","R",2018,1.97193027707817,-1.74667605629004,101
"Pied Bushchat","R",2019,1.9318301257746,-1.63769432262296,101
"Pied Bushchat","R",2020,1.86935315618711,-1.61219488102853,101
"Pied Bushchat","R",2021,1.8980545272104,-1.64238173404272,101
"Plain Prinia","R",2018,2.59970093774515,-2.80205478691243,101
"Plain Prinia","R",2019,2.42910723836081,-2.61507898273258,101
"Plain Prinia","R",2020,2.49091831972627,-2.68149407849155,101
"Plain Prinia","R",2021,2.56241458877696,-2.78728264791897,101
"Indian Robin","R",2018,2.05639060835934,-1.95837945489331,101
"Indian Robin","R",2019,1.99254218914769,-1.83314835943728,101
"Indian Robin","R",2020,1.89905440255546,-1.73605443706011,101
"Indian Robin","R",2021,1.9059627264012,-1.72503030133105,101
"House Sparrow","R",2018,2.00947395509545,-1.82716135971214,101
"House Sparrow","R",2019,2.02219743373853,-1.82039270040437,101
"House Sparrow","R",2020,2.01822665205631,-1.85354459976422,101
"House Sparrow","R",2021,2.06878997378526,-1.98098061010395,101
"Spotted Dove","R",2018,1.65200276332713,-1.04678945500548,101
"Spotted Dove","R",2019,1.54690160844698,-0.925695995261455,101
"Spotted Dove","R",2020,1.5093611913658,-0.836343846610292,101
"Spotted Dove","R",2021,1.56434607944341,-0.857041433656775,101
"Coppersmith Barbet","R",2018,2.20981647760757,-2.14216005568504,101
"Coppersmith Barbet","R",2019,2.20242066186847,-2.21334823141203,101
"Coppersmith Barbet","R",2020,2.26133113239236,-2.23623040303874,101
"Coppersmith Barbet","R",2021,2.28611544167399,-2.32138145674835,101
"Black-winged Kite","R",2018,2.65463870517491,-2.96354760274647,101
"Black-winged Kite","R",2019,2.60750100559002,-2.97422401277779,101
"Black-winged Kite","R",2020,2.51828211404295,-2.75623674242002,101
"Black-winged Kite","R",2021,2.46068249819078,-2.68632864558844,101
"Small Minivet","R",2018,2.65637650060282,-3.04534645880107,101
"Small Minivet","R",2019,2.61111195151414,-3.00326614639429,101
"Small Minivet","R",2020,2.63809509875762,-3.00911758699802,101
"Small Minivet","R",2021,2.60153798651643,-2.94859256373326,101
"Long-tailed Shrike","R",2018,2.48319210061461,-2.68629215536606,101
"Long-tailed Shrike","R",2019,2.70666392099109,-2.92272884236197,101
"Long-tailed Shrike","R",2020,2.44406757213853,-2.65849922262352,101
