date,time,state,cases
18/03/2020,6:00 PM,Karnataka,11
18/03/2020,6:00 PM,Kerala,27
18/03/2020,6:00 PM,Maharashtra,42
18/03/2020,6:00 PM,Odisha,1
18/03/2020,6:00 PM,Puducherry,1
18/03/2020,6:00 PM,Punjab,1
18/03/2020,6:00 PM,Rajasthan,4
18/03/2020,6:00 PM,Tamil Nadu,1
18/03/2020,6:00 PM,Telengana,6
18/03/2020,6:00 PM,Jammu and Kashmir,3
18/03/2020,6:00 PM,Ladakh,8
18/03/2020,6:00 PM,Uttar Pradesh,16
18/03/2020,6:00 PM,Uttarakhand,1
18/03/2020,6:00 PM,West Bengal,1
19/03/2020,6:00 PM,Andhra Pradesh,2
19/03/2020,6:00 PM,Chhattisgarh,1
19/03/2020,6:00 PM,Delhi,12
19/03/2020,6:00 PM,Haryana,17
19/03/2020,6:00 PM,Karnataka,14
19/03/2020,6:00 PM,Kerala,27
19/03/2020,6:00 PM,Maharashtra,47
19/03/2020,6:00 PM,Odisha,1
19/03/2020,6:00 PM,Puducherry,1
19/03/2020,6:00 PM,Punjab,2
19/03/2020,6:00 PM,Rajasthan,7
19/03/2020,6:00 PM,Tamil Nadu,2
19/03/2020,6:00 PM,Telengana,6
19/03/2020,6:00 PM,Chandigarh,1
19/03/2020,6:00 PM,Jammu and Kashmir,4
19/03/2020,6:00 PM,Ladakh,8
19/03/2020,6:00 PM,Uttar Pradesh,19
19/03/2020,6:00 PM,Uttarakhand,1
19/03/2020,6:00 PM,West Bengal,1
20/03/2020,6:00 PM,Andhra Pradesh,3
20/03/2020,6:00 PM,Chhattisgarh,1
20/03/2020,6:00 PM,Delhi,17
20/03/2020,6:00 PM,Gujarat,5
20/03/2020,6:00 PM,Haryana,17
20/03/2020,6:00 PM,Karnataka,15
20/03/2020,6:00 PM,Kerala,28
20/03/2020,6:00 PM,Maharashtra,52
20/03/2020,6:00 PM,Odisha,2
20/03/2020,6:00 PM,Puducherry,1
20/03/2020,6:00 PM,Punjab,2
20/03/2020,6:00 PM,Rajasthan,17
20/03/2020,6:00 PM,Tamil Nadu,3
20/03/2020,6:00 PM,Telengana,17
20/03/2020,6:00 PM,Chandigarh,1
20/03/2020,6:00 PM,Jammu and Kashmir,4
20/03/2020,6:00 PM,Ladakh,10
20/03/2020,6:00 PM,Uttar Pradesh,23
20/03/2020,6:00 PM,Uttarakhand,3
20/03/2020,6:00 PM,West Bengal,2
21/03/2020,6:00 PM,Andhra Pradesh,3
21/03/2020,6:00 PM,Chhattisgarh,1
21/03/2020,6:00 PM,Delhi,26
21/03/2020,6:00 PM,Gujarat,7
21/03/2020,6:00 PM,Haryana,17
21/03/2020,6:00 PM,Himachal Pradesh,2
21/03/2020,6:00 PM,Karnataka,15
21/03/2020,6:00 PM,Kerala,40
21/03/2020,6:00 PM,Madhya Pradesh,4
21/03/2020,6:00 PM,Maharashtra,63
21/03/2020,6:00 PM,Odisha,2
21/03/2020,6:00 PM,Puducherry,1
21/03/2020,6:00 PM,Punjab,13
21/03/2020,6:00 PM,Rajasthan,17
21/03/2020,6:00 PM,Tamil Nadu,3
21/03/2020,6:00 PM,Telengana,21
21/03/2020,6:00 PM,Chandigarh,1
21/03/2020,6:00 PM,Jammu and Kashmir,4
21/03/2020,6:00 PM,Ladakh,13
21/03/2020,6:00 PM,Uttar Pradesh,24
21/03/2020,6:00 PM,Uttarakhand,3
21/03/2020,6:00 PM,West Bengal,3
22/03/2020,6:00 PM,Andhra Pradesh,5
22/03/2020,6:00 PM,Bihar,2
22/03/2020,6:00 PM,Chhattisgarh,1
22/03/2020,6:00 PM,Delhi,29
22/03/2020,6:00 PM,Gujarat,18
22/03/2020,6:00 PM,Haryana,21
22/03/2020,6:00 PM,Himachal Pradesh,2
22/03/2020,6:00 PM,Karnataka,26
22/03/2020,6:00 PM,Kerala,52
22/03/2020,6:00 PM,Madhya Pradesh,4
22/03/2020,6:00 PM,Maharashtra,67
22/03/2020,6:00 PM,Odisha,2
22/03/2020,6:00 PM,Puducherry,1
22/03/2020,6:00 PM,Punjab,21
22/03/2020,6:00 PM,Rajasthan,24
22/03/2020,6:00 PM,Tamil Nadu,7
22/03/2020,6:00 PM,Telengana,22
22/03/2020,6:00 PM,Chandigarh,5
22/03/2020,6:00 PM,Jammu and Kashmir,4
22/03/2020,6:00 PM,Ladakh,13
22/03/2020,6:00 PM,Uttar Pradesh,27
22/03/2020,6:00 PM,Uttarakhand,3
22/03/2020,6:00 PM,West Bengal,4
23/03/2020,6:00 PM,Andhra Pradesh,7
23/03/2020,6:00 PM,Bihar,2
23/03/2020,6:00 PM,Chhattisgarh,1
23/03/2020,6:00 PM,Delhi,29
23/03/2020,6:00 PM,Gujarat,29
23/03/2020,6:00 PM,Haryana,26
23/03/2020,6:00 PM,Himachal Pradesh,2
23/03/2020,6:00 PM,Karnataka,33
23/03/2020,6:00 PM,Kerala,67
23/03/2020,6:00 PM,Madhya Pradesh,6
23/03/2020,6:00 PM,Maharashtra,74
23/03/2020,6:00 PM,Odisha,2
23/03/2020,6:00 PM,Puducherry,1
23/03/2020,6:00 PM,Punjab,21
23/03/2020,6:00 PM,Rajasthan,28
23/03/2020,6:00 PM,Tamil Nadu,9
23/03/2020,6:00 PM,Telengana,32
23/03/2020,6:00 PM,Chandigarh,6
23/03/2020,6:00 PM,Jammu and Kashmir,4
23/03/2020,6:00 PM,Ladakh,13
23/03/2020,6:00 PM,Uttar Pradesh,31
23/03/2020,6:00 PM,Uttarakhand,3
23/03/2020,6:00 PM,West Bengal,7
24/03/2020,6:00 PM,Andhra Pradesh,8
24/03/2020,6:00 PM,Bihar,3
24/03/2020,6:00 PM,Chhattisgarh,1
24/03/2020,6:00 PM,Delhi,30
24/03/2020,6:00 PM,Gujarat,33
24/03/2020,6:00 PM,Haryana,28
24/03/2020,6:00 PM,Himachal Pradesh,3
24/03/2020,6:00 PM,Karnataka,37
24/03/2020,6:00 PM,Kerala,95
24/03/2020,6:00 PM,Madhya Pradesh,7
24/03/2020,6:00 PM,Maharashtra,89
24/03/2020,6:00 PM,Manipur,1
24/03/2020,6:00 PM,Odisha,2
24/03/2020,6:00 PM,Puducherry,1
24/03/2020,6:00 PM,Punjab,29
24/03/2020,6:00 PM,Rajasthan,32
24/03/2020,6:00 PM,Tamil Nadu,15
24/03/2020,6:00 PM,Telengana,35
24/03/2020,6:00 PM,Chandigarh,7
24/03/2020,6:00 PM,Jammu and Kashmir,4
24/03/2020,6:00 PM,Ladakh,13
24/03/2020,6:00 PM,Uttar Pradesh,33
24/03/2020,6:00 PM,Uttarakhand,4
24/03/2020,6:00 PM,West Bengal,9
25/03/2020,6:00 PM,Andhra Pradesh,9
25/03/2020,6:00 PM,Bihar,4
25/03/2020,6:00 PM,Chhattisgarh,1
25/03/2020,6:00 PM,Delhi,31
25/03/2020,6:00 PM,Gujarat,38
25/03/2020,6:00 PM,Haryana,28
25/03/2020,6:00 PM,Himachal Pradesh,3
25/03/2020,6:00 PM,Karnataka,41
25/03/2020,6:00 PM,Kerala,109
25/03/2020,6:00 PM,Madhya Pradesh,14
25/03/2020,6:00 PM,Maharashtra,128
25/03/2020,6:00 PM,Manipur,1
25/03/2020,6:00 PM,Mizoram,1
25/03/2020,6:00 PM,Odisha,2
25/03/2020,6:00 PM,Puducherry,1
25/03/2020,6:00 PM,Punjab,29
25/03/2020,6:00 PM,Rajasthan,36
25/03/2020,6:00 PM,Tamil Nadu,18
25/03/2020,6:00 PM,Telengana,35
25/03/2020,6:00 PM,Chandigarh,7
25/03/2020,6:00 PM,Jammu and Kashmir,7
25/03/2020,6:00 PM,Ladakh,13
25/03/2020,6:00 PM,Uttar Pradesh,37
25/03/2020,6:00 PM,Uttarakhand,4
25/03/2020,6:00 PM,West Bengal,9
26/03/2020,6:00 PM,Andaman and Nicobar Islands,1
26/03/2020,6:00 PM,Andhra Pradesh,11
26/03/2020,6:00 PM,Bihar,6
26/03/2020,6:00 PM,Chandigarh,7
26/03/2020,6:00 PM,Chhattisgarh,6
26/03/2020,6:00 PM,Delhi,36
26/03/2020,6:00 PM,Goa,3
26/03/2020,6:00 PM,Gujarat,43
26/03/2020,6:00 PM,Haryana,30
26/03/2020,6:00 PM,Himachal Pradesh,3
26/03/2020,6:00 PM,Jammu and Kashmir,13
26/03/2020,6:00 PM,Karnataka,55
26/03/2020,6:00 PM,Kerala,118
26/03/2020,6:00 PM,Ladakh,13
26/03/2020,6:00 PM,Madhya Pradesh,20
26/03/2020,6:00 PM,Maharashtra,124
26/03/2020,6:00 PM,Manipur,1
26/03/2020,6:00 PM,Mizoram,1
26/03/2020,6:00 PM,Odisha,2
26/03/2020,6:00 PM,Puducherry,1
26/03/2020,6:00 PM,Punjab,33
26/03/2020,6:00 PM,Rajasthan,41
26/03/2020,6:00 PM,Tamil Nadu,26
26/03/2020,6:00 PM,Telengana,44
26/03/2020,6:00 PM,Uttarakhand,5
26/03/2020,6:00 PM,Uttar Pradesh,41
26/03/2020,6:00 PM,West Bengal,10
27/03/2020,10:00 AM,Andaman and Nicobar Islands,1
27/03/2020,10:00 AM,Andhra Pradesh,12
27/03/2020,10:00 AM,Bihar,6
27/03/2020,10:00 AM,Chandigarh,7
27/03/2020,10:00 AM,Chhattisgarh,6
27/03/2020,10:00 AM,Delhi,36
27/03/2020,10:00 AM,Goa,3
27/03/2020,10:00 AM,Gujarat,43
27/03/2020,10:00 AM,Haryana,30
27/03/2020,10:00 AM,Himachal Pradesh,3
27/03/2020,10:00 AM,Jammu and Kashmir,13
27/03/2020,10:00 AM,Karnataka,55
27/03/2020,10:00 AM,Kerala,137
27/03/2020,10:00 AM,Ladakh,13
27/03/2020,10:00 AM,Madhya Pradesh,20
27/03/2020,10:00 AM,Maharashtra,130
27/03/2020,10:00 AM,Manipur,1
27/03/2020,10:00 AM,Mizoram,1
27/03/2020,10:00 AM,Odisha,2
27/03/2020,10:00 AM,Puducherry,1
27/03/2020,10:00 AM,Punjab,33
27/03/2020,10:00 AM,Rajasthan,41
27/03/2020,10:00 AM,Tamil Nadu,29
27/03/2020,10:00 AM,Telengana,45
27/03/2020,10:00 AM,Uttarakhand,5
27/03/2020,10:00 AM,Uttar Pradesh,41
27/03/2020,10:00 AM,West Bengal,10
28/03/2020,6:00 PM,Andhra Pradesh,14
28/03/2020,6:00 PM,Andaman and Nicobar Islands,6
28/03/2020,6:00 PM,Bihar,9
28/03/2020,6:00 PM,Chandigarh,8
28/03/2020,6:00 PM,Chhattisgarh,6
28/03/2020,6:00 PM,Delhi,39
28/03/2020,6:00 PM,Goa,3
28/03/2020,6:00 PM,Gujarat,45
28/03/2020,6:00 PM,Haryana,33
28/03/2020,6:00 PM,Himachal Pradesh,3
28/03/2020,6:00 PM,Jammu and Kashmir,20
28/03/2020,6:00 PM,Karnataka,55
28/03/2020,6:00 PM,Kerala,176
28/03/2020,6:00 PM,Ladakh,13
28/03/2020,6:00 PM,Madhya Pradesh,30
28/03/2020,6:00 PM,Maharashtra,180
28/03/2020,6:00 PM,Manipur,1
28/03/2020,6:00 PM,Mizoram,1
28/03/2020,6:00 PM,Odisha,3
28/03/2020,6:00 PM,Puducherry,1
28/03/2020,6:00 PM,Punjab,38
28/03/2020,6:00 PM,Rajasthan,54
28/03/2020,6:00 PM,Tamil Nadu,40
28/03/2020,6:00 PM,Telengana,56
28/03/2020,6:00 PM,Uttarakhand,5
28/03/2020,6:00 PM,Uttar Pradesh,55
28/03/2020,6:00 PM,West Bengal,15
29/03/2020,7:30 PM,Andhra Pradesh,19
29/03/2020,7:30 PM,Andaman and Nicobar Islands,9
29/03/2020,7:30 PM,Bihar,11
29/03/2020,7:30 PM,Chandigarh,8
29/03/2020,7:30 PM,Chhattisgarh,7
29/03/2020,7:30 PM,Delhi,49
29/03/2020,7:30 PM,Goa,5
29/03/2020,7:30 PM,Gujarat,58
29/03/2020,7:30 PM,Haryana,33
29/03/2020,7:30 PM,Himachal Pradesh,3
29/03/2020,7:30 PM,Jammu and Kashmir,31
29/03/2020,7:30 PM,Karnataka,76
29/03/2020,7:30 PM,Kerala,182
29/03/2020,7:30 PM,Ladakh,13
29/03/2020,7:30 PM,Madhya Pradesh,30
29/03/2020,7:30 PM,Maharashtra,186
29/03/2020,7:30 PM,Manipur,1
29/03/2020,7:30 PM,Mizoram,1
29/03/2020,7:30 PM,Odisha,3
29/03/2020,7:30 PM,Puducherry,1
29/03/2020,7:30 PM,Punjab,38
29/03/2020,7:30 PM,Rajasthan,55
29/03/2020,7:30 PM,Tamil Nadu,49
29/03/2020,7:30 PM,Telengana,66
29/03/2020,7:30 PM,Uttarakhand,7
29/03/2020,7:30 PM,Uttar Pradesh,65
29/03/2020,7:30 PM,West Bengal,18
30/03/2020,9:30 PM,Andhra Pradesh,23
30/03/2020,9:30 PM,Andaman and Nicobar Islands,9
